sku,Qty,Product,Name
B516,6,ALSTRRD,ALSTROEMERIA RED
B516,6,PPVICKYW,POMPOM VIKING YELLOW
B516,6,RUSCUS,RUSCUS
B516,14,ROS40CHBRA,ROSE 40CM CHERRY BRANDY
B517,5,SPMUMBRZ,SPIDER MUM BRONZE
B517,5,ALSTYW,ALSTROEMERIA YELLOW
B517,5,MS0369,PICK DRIED WHEAT
B517,5,PPCUSHBRZ,POMPOM CUSHION BRONZE
B517,6,ROS40YW,ROSE 40CM YELLOW
B517,6,ROS40ORG,ROSE 40CM ORANGE
B518,6,ROS40RD,ROSE 40CM RED
B518,6,ROS40WHT,ROSE 40CM WHITE
B518,6,CARNRD,CARNATION RED
B518,5,MINCARNRD,MINI CARNS RED
B518,3,RUSCUS,RUSCUS
B518,4,GYP,GYP
B518,6,PPCUSHWHT,POMPOM CUSHION WHITE
B519,7,ROS40RD,ROSE 40CM RED
B519,5,LEUSASUN,LEUCADENDRON SAFARY SUNSET
B519,3,PPCUSHRD,POMPOM CUSHION RED
B519,3,PINE,PINE
B522,5,ROS40RD,ROSE 40CM RED
B522,4,SPMUMWHT,SPIDER MUM WHITE
B522,3,PPCUSHWHT,POMPOM CUSHION WHITE
B522,3,PINE,PINE
B525,5,ROS40RD,ROSE 40CM RED
B525,4,PPCUSHWHT,POMPOM CUSHION WHITE
B525,5,CARNRD,CARNATION RED
B525,4,RUSCUS,RUSCUS
B526,5,ROS50YW,ROSE 50CM YELLOW
B526,5,ASTPP,ASTER PURPLE
B526,3,SOLID,SOLIDAGO
B526,4,PPCUSHPP,POMPOM CUSHION PURPLE
B526,4,STSPPP,STOCK SPRAY PURPLE
B526,3,RUSCUS,RUSCUS
B527,5,ROS40ORG,ROSE 40CM ORANGE
B527,6,CARNHTPK,CARNATION HOT PINK
B527,3,MINCARHPK,MINI CARNS HOT PINK
B527,3,MINCARORG,MINI CARNS ORANGE
B527,5,DIAGRBALL,DIANTHUS GREEN BALL
B527,3,RUSCUS,RUSCUS
B528,6,CARNBIBURG,CARNATION BICOLOR BURGUNDY
B528,5,LEUSASUN,LEUCADENDRON SAFARY SUNSET
B528,4,ALSTRLTPK,ALSTROEMERIA LIGHT PINK
B528,4,PPCUSHPP,POMPOM CUSHION PURPLE
B528,5,ROS50WHT,ROSE 50CM WHITE
B528,3,RUSCUS,RUSCUS
B529,3,CARNLTPK,CARNATION LIGHT PINK
B529,4,PPDAYWHT,POMPOM DAISY WHITE
B529,3,SPMUMYW,SPIDER MUM YELLOW
B529,4,SOLID,SOLIDAGO
B529,4,ALSTRLTPK,ALSTROEMERIA LIGHT PINK
B529,3,RUSCUS,RUSCUS
B530,5,ROS50LAV,ROSE 50CM LAVENDER
B530,3,PPDAYWHT,POMPOM DAISY WHITE
B530,3,SPMUMLAV,SPIDER MUM LAVENDER
B530,5,RUSCUS,RUSCUS
B531,4,ROS50YW,ROSE 50CM YELLOW
B531,3,ROS50ORG,ROSE 50CM ORANGE
B531,5,CARNORG,CARNATION ORANGE
B531,5,PPBTTYLW,POMPOM BUTTON YELLOW
B531,5,PPDAYWHT,POMPOM DAISY WHITE
B533,20,PPCUSHWHT,POMPOM CUSHION WHITE
B535,12,ROS50RD,ROSE 50CM RED
B535,8,RUSCUS,RUSCUS
B535,3,ERYNG,ERYNGIUM
B536,6,ROS40HTPK,ROSE 40CM HOT PINK
B536,5,SPMUMYW,SPIDER MUM YELLOW
B536,5,ASTWHT,ASTER WHITE
B536,5,CARNBIYWPK,CARNATION BICOLOR YELLOW PINK
B537,5,ROS40HTPK,ROSE 40CM HOT PINK
B537,3,STSPPP,STOCK SPRAY PURPLE
B537,5,DIAGRBALL,DIANTHUS GREEN BALL
B537,5,CARNORG,CARNATION ORANGE
B537,4,PPDAYYW,POMPOM DAISY YELLOW
B539,3,DIAGRBALL,DIANTHUS GREEN BALL
B539,5,LEUCADEANY,LEUCADENDRON
B539,3,PPCUSHZEMB,POMPOM CUSHION ZEMBLA
B539,3,SPMUMGR,SPIDER MUM GREEN
B539,3,EUCALYPSDOLL,EUCALYPTUS SILVER DOLLAR
B539,5,ROS40WHT,ROSE 40CM WHITE
B540,6,ROS40WHT,ROSE 40CM WHITE
B540,4,RUSCUS,RUSCUS
B540,4,LEUCADEANY,LEUCADENDRON
B540,3,PPCUSHWHT,POMPOM CUSHION WHITE
B541,3,ROS40HTPK,ROSE 40CM HOT PINK
B541,4,ROS40LTPK,ROSE 40CM LIGHT PINK
B541,6,LEUCADEANY,LEUCADENDRON
B541,3,ALSTRPK,ALSTROEMERIA PINK
B541,3,ASTMATSHTPK,ASTER MATSUMOTO HOT PINK
B543,3,GERBORGDKCENT,GERBERA ORANGE WITH DARK CENTER
B543,3,SPROSORG,SPRAY ROSE ORANGE
B543,5,ERYNG,ERYNGIUM
B543,1,MS0089,PICK SPIDER
B543,4,SPMUMWHT,SPIDER MUM WHITE
B544,9,ROS40ORG,ROSE 40CM ORANGE
B544,5,MINCARNBURG,MINI CARNS BURGUNDY
B544,4,PPDAYRD,POMPOM DAISY RED
B544,4,ALSTRORG,ALTROEMERIA ORANGE
B544,3,SOLID,SOLIDAGO
B544,3,RUSCUS,RUSCUS
B545,12,ROS40ORG,ROSE 40CM ORANGE
B545,5,MINCARNBURG,MINI CARNS BURGUNDY
B545,5,PPDAYRD,POMPOM DAISY RED
B545,6,ALSTRORG,ALTROEMERIA ORANGE
B545,3,SOLID,SOLIDAGO
B545,3,RUSCUS,RUSCUS
B546,8,ROS40YW,ROSE 40CM YELLOW
B546,3,CREMUMRDMORG,CREMOM MUM RED MORGAN
B546,2,PPCUSHBRZ,POMPOM CUSHION BRONZE
B546,2,PPCUSHYLW,POMPOM CUSHION YELLOW
B546,5,HYPERRD,HYPERICUM RED
B546,3,LEUSASUN,LEUCADENDRON SAFARY SUNSET
B546,3,RUSCUS,RUSCUS
B547,5,ROS40WHT,ROSE 40CM WHITE
B547,5,STSPWT,STOCK SPRAY WHITE
B547,4,DIAGRBALL,DIANTHUS GREEN BALL
B547,3,EUCALYPBB,EUCALYPTUS BABY BLUE
B547,3,RUSCUS,RUSCUS
B548,3,ROS40RD,ROSE 40CM RED
B548,3,CARNRD,CARNATION RED
B548,2,MINCARNRD,MINI CARNS RED
B548,5,RUSCUS,RUSCUS
B548,2,GYP,GYP
B548,3,PPCUSHWHT,POMPOM CUSHION WHITE
B549,5,ROS40WHT,ROSE 40CM WHITE
B549,3,CREMUMWHT,CREMOM MUM WHITE
B549,3,STSPWT,STOCK SPRAY WHITE
B549,4,ERYNG,ERYNGIUM
B551,3,ROS40HTPK,ROSE 40CM HOT PINK
B551,4,ROS40LTPK,ROSE 40CM LIGHT PINK
B551,6,LEUCADEANY,LEUCADENDRON
B551,3,ALSTRPK,ALSTROEMERIA PINK
B551,3,CARNHTPK,CARNATION HOT PINK
B552,18,ROS50RD,ROSE 50CM RED
B552,5,DIASWPK,DIANTHUS SWEET WILLIAM PINK
B552,5,RUSCUS,RUSCUS
B552,3,LLORISTARF,LILY ORIENTAL STARFIGHTER
B553,6,ROS40WHT,ROSE 40CM WHITE
B553,4,SPROSLTPK,SPRAY ROSE LIGHT PINK
B553,5,SOLID,SOLIDAGO
B553,5,RUSCUS,RUSCUS
B553,3,EUCALYPBB,EUCALYPTUS BABY BLUE
B554,9,ROS40RD,ROSE 40CM RED
B554,8,CARNPP,CARNATION PURPLE
B554,5,STSPPP,STOCK SPRAY PURPLE
B554,5,RUSCUS,RUSCUS
B555,7,ROS50LAV,ROSE 50CM LAVENDER
B555,5,ROS50PEA,ROSE 50CM PEACH
B555,3,CARNPEA,CARNATION PEACH
B555,3,DIASWPK,DIANTHUS SWEET WILLIAM PINK
B555,5,CREMUMPP,CREMOM MUM PURPLE
B555,3,STSPHPK,STOCK SPRAY HOT PINK
B556,6,ROS40WHT,ROSE 40CM WHITE
B556,4,RUSCUS,RUSCUS
B556,4,LEUCADEANY,LEUCADENDRON
B556,3,PPCUSHWHT,POMPOM CUSHION WHITE
B557,10,MOKORCASST,MOKARA ORCHID ASST
B840,3,MINCARNRD,MINI CARNS RED
B840,3,ALSTRRD,ALSTROEMERIA RED
B840,3,ALSTRWT,ALSTROEMERIA WHITE
B840,4,PPCUSHWHT,POMPOM CUSHION WHITE
B840,2,PINE,PINE
B842,5,MINCARNRD,MINI CARNS RED
B842,5,ALSTRRD,ALSTROEMERIA RED
B842,5,ALSTRWT,ALSTROEMERIA WHITE
B842,4,PPCUSHWHT,POMPOM CUSHION WHITE
B842,3,PINE,PINE
G115,15,GERBASST,GERBERA ASSORTED
G115,3,SOLID,SOLIDAGO
G115,3,RUSCUS,RUSCUS
R007,12,ROS50PEA,ROSE 50CM PEACH
R007,3,RUSCUS,RUSCUS
R023,18,ROS40DYNAM,ROSE 40CM DYNAMITE
R026,18,ROS40VRNIC,ROSE 40CM VERDI/NICOLETTA
R100,12,ROS40RD,ROSE 40CM RED
R100,2,RUSCUS,RUSCUS
R1000,6,ROS40RD,ROSE 40CM RED
R1000,6,ROS40WHT,ROSE 40CM WHITE
R1000,2,RUSCUS,RUSCUS
R1002,12,ROS50RD,ROSE 50CM RED
R1002,12,ROS50YW,ROSE 50CM YELLOW
R1002,6,RUSCUS,RUSCUS
R1005,12,ROS40RD,ROSE 40CM RED
R1005,12,ROS40WHT,ROSE 40CM WHITE
R1005,4,RUSCUS,RUSCUS
R101,12,ROS50RD,ROSE 50CM RED
R101,6,RUSCUS,RUSCUS
R1018,9,ROS40RD,ROSE 40CM RED
R1018,9,ROS40WHT,ROSE 40CM WHITE
R102,24,ROS50RD,ROSE 50CM RED
R102,6,RUSCUS,RUSCUS
R104,18,ROS40RD,ROSE 40CM RED
R105,24,ROS40RD,ROSE 40CM RED
R118,18,ROS50RD,ROSE 50CM RED
R118,6,RUSCUS,RUSCUS
R202,24,ROS50ASST,ROSE 50CM ASST
R204,18,ROS40ASST,ROSE 40CM ASST
R205,24,ROS40ASST,ROSE 40CM ASST
R212,12,ROS50ASST,ROSE 50CM ASST
R222,12,ROS50ASST,ROSE 50CM ASST
R222,4,RUSCUS,RUSCUS
R299,12,ROS40ASST,ROSE 40CM ASST
R300,12,ROS40BCORGYW,ROSE 40CM BICOLOR ORANGE/YELLOW
R300,3,RUSCUS,RUSCUS
R4000,4,ROS40PK,ROSE 40CM PINK
R4000,4,ROS40YW,ROSE 40CM YELLOW
R4000,4,ROS40WHT,ROSE 40CM WHITE
R4000,3,GYP,GYP
R4005,8,ROS40PK,ROSE 40CM PINK
R4005,8,ROS40YW,ROSE 40CM YELLOW
R4005,8,ROS40WHT,ROSE 40CM WHITE
R4005,4,GYP,GYP
R412,4,ROS40PK,ROSE 40CM PINK
R412,4,ROS40RD,ROSE 40CM RED
R412,4,ROS40WHT,ROSE 40CM WHITE
R501,12,ROS50PK,ROSE 50CM PINK
R501,3,RUSCUS,RUSCUS
R503,12,ROS50HTPK,ROSE 50CM HOT PINK
R503,5,RUSCUS,RUSCUS
R503,2,MS0578,PICK LEOPARD BOW
R601,12,ROS50YW,ROSE 50CM YELLOW
R601,3,RUSCUS,RUSCUS
R6217,24,ROS50RD,ROSE 50CM RED
R6217,5,RUSCUS,RUSCUS
R6217,5,MS0527,PICK LARGE DIAMOND 
R701,12,ROS50YW,ROSE 50CM YELLOW
R701,3,RUSCUS,RUSCUS
R801,12,ROS50ORG,ROSE 50CM ORANGE
R801,3,RUSCUS,RUSCUS
R900,3,RUSCUS,RUSCUS
R900,4,ROS40RD,ROSE 40CM RED
R900,4,ROS40ORG,ROSE 40CM ORANGE
R900,4,ROS40YW,ROSE 40CM YELLOW
R905,4,RUSCUS,RUSCUS
R905,8,ROS40RD,ROSE 40CM RED
R905,8,ROS40ORG,ROSE 40CM ORANGE
R905,8,ROS40YW,ROSE 40CM YELLOW
R906,6,RUSCUS,RUSCUS
R906,8,ROS50ORG,ROSE 50CM ORANGE
R906,8,ROS50RD,ROSE 50CM RED
R906,8,ROS50YW,ROSE 50CM YELLOW
R918,6,ROS40RD,ROSE 40CM RED
R918,6,ROS40ORG,ROSE 40CM ORANGE
R918,6,ROS40YW,ROSE 40CM YELLOW
B532,7,ROS20PK,ROSE 20CM PINK
