YEAR,SKU,QTY,VENDOR,CODE,SEASON,BQT PRICE,PACK,FRT,FRT P/U,BQT + FRT
2018,R1018,3068,ELB,R1018ELB,EDAY,8.77,30,19.47,0.649,9.419
2018,R1018,1422,FLR,R1018FLR,EDAY,3.75,26,72.99,2.807307692,6.557307692
2018,R1018,5302,GOL,R1018GOL,EDAY,6.98523,20,4.24,0.212,7.19723
2018,R1018,2212,PAB,R1018PAB,EDAY,10.8,20,19.31,0.9655,11.7655
2018,R102,4223,ELB,R102ELB,EDAY,12.98,16,19.47,1.216875,14.196875
2018,R102,730,FLR,R102FLR,EDAY,7.2,16,72.99,4.561875,11.761875
2018,R102,3478,GOL,R102GOL,EDAY,12.9456,12,4.24,0.353333333,13.29893333
2018,R102,7067,PAB,R102PAB,EDAY,10.98,12,19.31,1.609166667,12.58916667
2018,R104,16042,ELB,R104ELB,EDAY,6.02,30,19.47,0.649,6.669
2018,R105,2348,ELB,R105ELB,EDAY,8.08,24,19.47,0.81125,8.89125
2018,R105,29751,FLR,R105FLR,EDAY,4.8,20,72.99,3.6495,8.4495
2018,R105,67994,GOL,R105GOL,EDAY,8.212365,20,4.24,0.212,8.424365
2018,R105,1088,PFL,R105PFL,EDAY,3.79,20,72.99,3.6495,7.4395
2018,R118,14227,ELB,R118ELB,EDAY,9.14,20,19.47,0.9735,10.1135
2018,R118,187,GOL,R118GOL,EDAY,10.0626,20,4.24,0.212,10.2746
2018,R118,17232,PAB,R118PAB,EDAY,8.46,16,19.31,1.206875,9.666875
2018,R202,605,ELB,R202ELB,EDAY,9.16,24,19.47,0.81125,9.97125
2018,R202,63084,FLR,R202FLR,EDAY,6,20,72.99,3.6495,9.6495
2018,R202,2472,GOL,R202GOL,EDAY,10.6760745,20,4.24,0.212,10.8880745
2018,R204,22125,GOL,R204GOL,EDAY,6.0884775,20,4.24,0.212,6.3004775
2018,R205,48879,ELB,R205ELB,EDAY,7.79,24,19.47,0.81125,8.60125
2018,R205,93651,FLR,R205FLR,EDAY,4.8,20,72.99,3.6495,8.4495
2018,R205,27237,GOL,R205GOL,EDAY,8.212365,20,4.24,0.212,8.424365
2018,R212,14788,ELB,R212ELB,EDAY,4.7,35,19.47,0.556285714,5.256285714
2018,R212,23796,FLR,R212FLR,EDAY,3,24,72.99,3.04125,6.04125
2018,R212,619,GOL,R212GOL,EDAY,5.5221075,24,4.24,0.176666667,5.698774167
2018,R212,274,PAB,R212PAB,EDAY,5.4,25,19.31,0.7724,6.1724
2018,R299,1604,ELB,R299ELB,EDAY,3.87,34,19.47,0.572647059,4.442647059
2018,R299,21814,FLR,R299FLR,EDAY,2.4,28,72.99,2.606785714,5.006785714
2018,R299,127627,GOL,R299GOL,EDAY,4.15,30,4.24,0.141333333,4.291333333
2018,R299,6532,PAB,R299PAB,EDAY,4.2,30,19.31,0.643666667,4.843666667
2018,R412,1097,ELB,R412ELB,EDAY,4.23,34,19.47,0.572647059,4.802647059
2018,R601,9278,ELB,R601ELB,EDAY,5.52,25,19.47,0.7788,6.2988
2018,R701,1694,ELB,R701ELB,EDAY,5.52,25,19.47,0.7788,6.2988
2018,R900,3351,ELB,R900ELB,EDAY,5.2,28,19.47,0.695357143,5.895357143
2018,R900,4243,GOL,R900GOL,EDAY,5.62,24,4.24,0.176666667,5.796666667
2018,R900,1327,VIS,R900VIS,EDAY,4.6,20,16.53,0.8265,5.4265
2018,R905,1840,FLR,R905FLR,EDAY,5.75,16,72.99,4.561875,10.311875
2018,R918,2279,FLR,R918FLR,EDAY,3.75,30,72.99,2.433,6.183
2018,B104,30194,ELB,B104ELB,MDAY,7.6,28,23.52,0.84,8.44
2018,B104,9337,GOL,B104GOL,MDAY,7.67,20,4.24,0.212,7.882
2018,B105,12328,GOL,B105GOL,MDAY,9.82,16,4.24,0.265,10.085
2018,B239,60875,ELB,B239ELB,MDAY,6.88,20,23.52,1.176,8.056
2018,B239,7264,GOL,B239GOL,MDAY,8.42,20,4.24,0.212,8.632
2018,B239,4748,PAB,B239PAB,MDAY,7,20,22.22,1.111,8.111
2018,B267,9722,ELB,B267ELB,MDAY,10.65,20,23.52,1.176,11.826
2018,B267,2811,GOL,B267GOL,MDAY,11.56,24,4.24,0.176666667,11.73666667
2018,B303,24842,ELB,B303ELB,MDAY,5.99,20,23.52,1.176,7.166
2018,B303,15504,GOL,B303GOL,MDAY,6.38,40,4.24,0.106,6.486
2018,B336,63381,ELB,B336ELB,MDAY,5.22,30,23.52,0.784,6.004
2018,B337,9275,PAB,B337PAB,MDAY,8.35,16,22.22,1.38875,9.73875
2018,B364,20459,ELB,B364ELB,MDAY,5.55,20,23.52,1.176,6.726
2018,B364,10476,GOL,B364GOL,MDAY,8.63,24,4.24,0.176666667,8.806666667
2018,B528,5271,ELB,B528ELB,MDAY,11.3,16,23.52,1.47,12.77
2018,B533,14417,ELB,B533ELB,MDAY,5.54,14,23.52,1.68,7.22
2018,B540,5267,GOL,B540GOL,MDAY,9.92,24,4.24,0.176666667,10.09666667
2018,B551,554,GOL,B551GOL,MDAY,9.42,24,4.24,0.176666667,9.596666667
2018,B556,4786,GOL,B556GOL,MDAY,9.92,24,4.24,0.176666667,10.09666667
2018,B573,3150,ELB,B573ELB,MDAY,,,23.52,#DIV/0!,#DIV/0!
2018,G115,2843,ELB,G115ELB,MDAY,11.12,20,23.52,1.176,12.296
2018,R026,2744,ELB,R026ELB,MDAY,8.94,25,23.52,0.9408,9.8808
2018,R026,2541,FLR,R026FLR,MDAY,5.94,26,68.19,2.622692308,8.562692308
2018,R100,5467,GOL,R100GOL,MDAY,5.31,24,4.24,0.176666667,5.486666667
2018,R101,1871,ELB,R101ELB,MDAY,7.51,20,23.52,1.176,8.686
2018,R105,7617,ELB,R105ELB,MDAY,8.2,24,23.52,0.98,9.18
2018,R105,1743,GOL,R105GOL,MDAY,8.78,20,4.24,0.212,8.992
2018,R105,23087,PDG,R105PDG,MDAY,3.79,20,68.19,3.4095,7.1995
2018,R118,2616,ELB,R118ELB,MDAY,10.44,20,23.52,1.176,11.616
2018,R202,35442,ELB,R202ELB,MDAY,10.82,24,23.52,0.98,11.8
2018,R202,7614,FLR,R202FLR,MDAY,6.96,20,68.19,3.4095,10.3695
2018,R202,11368,GOL,R202GOL,MDAY,11.7,20,4.24,0.212,11.912
2018,R205,19440,FLR,R205FLR,MDAY,5.76,20,68.19,3.4095,9.1695
